"Identifier","Count"
"pull_v",8
"quail_v",8
"quell_v",8
"rabbit_n",8
"rain_v",8
"rainbow_n",8
"rash_adj",8
"reach_v",8
"recent_adj",8
"reck_v",8
"reckon_v",8
"reed_n",8
"reek_v",8
"rhyme_n",8
"ridge_n",8
"rise_v",8
"saffron_n",8
"salt_n",8
"scud_v",8
"sedge_n",8
"seethe_v",8
"seldom_adv",8
"self_n",8
"sell_v",8
"serious_adj",8
"sharp_adj",8
"shave_v",8
"shell_n",8
"shield_n",8
"shore_n",8
"shot_n",8
"singe_v",8
"sixth_adj",8
"sixth_n",8
"sixty_adj",8
"skill_n",8
"snowy_adj",8
"socket_n",8
"sore_n",8
"sorry_adj",8
"spare_v",8
"sparrow_n",8
"speech_n",8
"spine_n",8
"spot_n",8
"spread_v",8
"spur_n",8
"start_v",8
"starve_v",8
"stick_n",8
"stir_v",8
"stole_n",8
"stomach_n",8
"stout_adj",8
"stump_n",8
"swamp_n",8
"sward_n",8
"swart_adj",8
"swell_v",8
"talent_n",8
"thatch_v",8
"think_v",8
"thirteenth_n",8
"thread_n",8
"through_adv",8
"through_prep",8
"till_prep",8
"time_n",8
"toll_n",8
"tree_n",8
"trough_n",8
"trust_n",8
"twain_n",8
"twelfth_n",8
"twenty_n",8
"two_n",8
"ugly_adj",8
"utter_adj",8
"voice_n",8
"vomit_n",8
"walk_v",8
"wand_n",8
"wane_v",8
"wary_adj",8
"waste_v",8
"wave_n",8
"weak_adj",8
"wedge_n",8
"weight_n",8
"wheel_n",8
"when_adv",8
"while_n",8
"wild_adj",8
"wisdom_n",8
"wise_adj",8
"witch_n",8
"woe_n",8
"wonder_n",8
"worse_adj",8
"wreath_n",8
"wroth_adj",8
"adamant_n",7
"again_adv",7
"age_n",7
"alike_adj",7
"allay_v",7
"allot_v",7
"anvil_n",7
"aware_adj",7
"awe_n",7
"badger_n",7
"bag_n",7
"bald_adj",7
"bargain_v",7
"basin_n",7
"become_v",7
"bee_n",7
"belief_n",7
"bell_n",7
"belt_n",7
"berry_n",7
"besom_n",7
"bight_n",7
"billow_n",7
"bind_v",7
"bite_n",7
"bitter_adj",7
"bleak_adj",7
"bless_v",7
"blossom_n",7
"blush_v",7
"body_n",7
"bolster_n",7
"book_n",7
"border_n",7
"bosom_n",7
"bower_n",7
"bracket_n",7
"brave_adj",7
"breakfast_n",7
"bridle_n",7
"bristle_n",7
"broad_adj",7
"brook_v",7
"busy_adj",7
"catch_v",7
"cedar_n",7
"change_v",7
"cheek_n",7
"chief_adj",7
"clatter_v",7
"claw_n",7
"cliff_n",7
"cloth_n",7
"comb_n",7
"companion_n",7
"conscience_n",7
"cook_n",7
"cool_adj",7
"coral_n",7
"courage_n",7
"craft_n",7
"creep_v",7
"dad_n",7
"depth_n",7
"dike_n",7
"dim_adj",7
"din_n",7
"drab_adj",7
"drag_v",7
"drip_v",7
"drop_n",7
"drop_v",7
"dumb_adj",7
"dusk_n",7
"earnest_adj",7
"earnest_n",7
"eave_n",7
"elbow_n",7
"else_adv",7
"equip_v",7
"fallow_adj",7
"farthing_n",7
"fast_adj",7
"fate_n",7
"fathom_n",7
"fear_v",7
"feud_n",7
"few_adj",7
"fill_v",7
"finger_n",7
"flake_n",7
"flesh_n",7
"float_v",7
"flow_v",7
"flower_n",7
"flute_n",7
"fodder_n",7
"foe_n",7
"food_n",7
"fright_n",7
"frost_n",7
"fruit_n",7
"fur_n",7
"gallop_v",7
"gap_n",7
"gear_n",7
"gem_n",7
"get_v",7
"gimlet_n",7
"gird_v",7
"glad_adj",7
"goal_n",7
"gorse_n",7
"grime_n",7
"guess_v",7
"hale_adj",7
"hallow_v",7
"handle_v",7
"harvest_n",7
"hat_n",7
"have_v",7
"hawthorn_n",7
"heal_v",7
"heed_v",7
"hinder_v",7
"hit_v",7
"hive_n",7
"hoarse_adj",7
"hound_n",7
"hour_n",7
"house_n",7
"how_adv",7
"insolent_adj",7
"intend_v",7
"irk_v",7
"island_n",7
"it_pron",7
"itch_v",7
"ivory_n",7
"jaw_n",7
"keen_adj",7
"knight_n",7
"knob_n",7
"lace_n",7
"lane_n",7
"late_adj",7
"lave_v",7
